Claim_ID,Food_ID,Receiver_ID,Status,Timestamp,Weekday,Hour,Month,Days_Since_Claim,Status_Code,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Days_To_Expiry,Is_Expired,Meal_Type_Code,Food_Type_Code,Name,Type,Address,City,Contact,Type_Code,City_Name_Length,Address_Length,Name_Receiver,Type_Receiver,City_Receiver,Contact_Receiver,Type_Code_Receiver,City_Name_Length_Receiver,Contact_Length
11,290,118,Pending,2025-03-04 23:01:00,Tuesday,23,March,162,2,Dairy,19,2025-03-19,315,Restaurant,Lake Andrewmouth,Non-vegetarian,Lunch,-148,True,2,0,Nelson Llc,Restaurant,"773 Frazier Ranch
Kellerbury, GA 32205",Lake Andrewmouth,+1-859-029-3911x34890,2,16,38,Matthew Tran,Charity,South Franciscoport,5831441560x457,0,19,14
12,694,739,Completed,2025-03-01 21:55:00,Saturday,21,March,165,1,Bread,50,2025-03-22,995,Supermarket,Manningshire,Vegetarian,Dinner,-145,True,1,2,Moore Group,Supermarket,"46915 Maynard Dam Suite 320
North Alyssa, CA 48762",Manningshire,889-093-8775x51762,3,12,50,Nancy Jones,Shelter,West Bradley,8064578047x368,3,12,14
13,951,959,Pending,2025-03-08 13:08:00,Saturday,13,March,158,2,Vegetables,20,2025-03-16,118,Supermarket,Lake Joseph,Vegan,Lunch,-151,True,2,1,Evans-Harrison,Supermarket,"2430 Michael Branch
Lake Brian, CA 67262",Lake Joseph,0668327189x65581,3,11,40,Samantha Gomez,Charity,Suzanneton,001-955-495-8534x09912,0,10,22
14,426,233,Cancelled,2025-03-08 16:08:00,Saturday,16,March,158,0,Bread,6,2025-03-22,461,Restaurant,New Hannah,Vegetarian,Dinner,-145,True,1,2,Murray Inc,Restaurant,"9576 Johnson Course
Farrellport, IN 73821",New Hannah,2916056162,2,10,41,Alicia Porter,Charity,Port Ericmouth,001-652-614-2884x66578,0,14,22
15,684,97,Completed,2025-03-07 08:00:00,Friday,8,March,159,1,Rice,39,2025-03-29,221,Supermarket,Walterborough,Vegetarian,Snacks,-138,True,3,2,Richardson Group,Supermarket,"48378 Morris Pines Apt. 216
Port Williamville, MD 62944",Walterborough,924099-7995,3,13,55,Nathan May,Charity,South Veronicaburgh,808784-9354,0,19,11
16,320,836,Cancelled,2025-03-07 06:17:00,Friday,6,March,159,0,Vegetables,26,2025-03-20,484,Restaurant,North Douglasfurt,Vegetarian,Lunch,-147,True,2,2,Nelson-White,Restaurant,"413 Atkinson Lodge
South Michael, WY 43133",North Douglasfurt,001-558-380-9342x873,2,17,42,Scott Craig,Shelter,South Lisa,1183826136,3,10,10
17,465,588,Cancelled,2025-03-15 16:49:00,Saturday,16,March,151,0,Rice,32,2025-03-19,532,Grocery Store,Darrylchester,Vegetarian,Snacks,-148,True,3,2,Johnson-Green,Grocery Store,"7369 Kenneth Haven
Andrewborough, UT 47985",Darrylchester,001-090-513-0319x965,1,13,42,Laurie Alvarez,Shelter,North Raymond,463392-9887x42698,3,13,17
18,952,729,Completed,2025-03-09 02:04:00,Sunday,2,March,157,1,Pasta,32,2025-03-28,82,Supermarket,West Lauraborough,Vegan,Dinner,-139,True,1,1,Carey-Richardson,Supermarket,"352 Moore Greens Suite 745
Deborahtown, NV 83580",West Lauraborough,4689060755x92529,3,17,48,David Spence,Charity,Port Curtisside,+1-843-006-1807,0,15,15
19,798,399,Pending,2025-03-16 06:32:00,Sunday,6,March,150,2,Fish,3,2025-03-30,413,Catering Service,North Mike,Vegetarian,Lunch,-137,True,2,2,"Davis, Bowen And Miller",Catering Service,"418 Adam Mission Suite 750
Jessicaville, OR 26759",North Mike,9207424674,0,10,49,Jennifer Hughes,Charity,West Donnaton,001-147-430-1204x8556,0,13,21
20,792,88,Completed,2025-03-07 12:15:00,Friday,12,March,159,1,Chicken,15,2025-03-17,308,Catering Service,Brittanyside,Vegan,Breakfast,-150,True,0,1,Doyle Llc,Catering Service,"8157 Tammy Road
West Stephenchester, NC 16381",Brittanyside,0312154595,0,12,45,Eric Ryan Dds,Ngo,Lake Daniel,001-677-794-6847x02126,2,11,22
21,281,493,Completed,2025-03-04 00:29:00,Tuesday,0,March,162,1,Rice,28,2025-03-23,356,Supermarket,West Michael,Non-vegetarian,Breakfast,-144,True,0,0,Espinoza Plc,Supermarket,"410 White Heights
North Todd, ID 25520",West Michael,410539-3296,3,12,38,Chelsea Powell,Charity,Lake Rachelburgh,001-527-059-4168x72504,0,16,22
22,345,757,Pending,2025-03-09 03:11:00,Sunday,3,March,157,2,Pasta,14,2025-03-20,346,Grocery Store,Thomasville,Vegan,Lunch,-147,True,2,1,"Phillips, Wolfe And Martin",Grocery Store,"Unit 1376 Box 6294
DPO AE 62072",Thomasville,001-548-413-4962,1,11,31,Christopher Garcia,Charity,North Danielchester,+1-837-555-5633x0883,0,19,20
23,674,526,Completed,2025-03-06 22:55:00,Thursday,22,March,160,1,Vegetables,34,2025-03-17,518,Grocery Store,Anneville,Vegetarian,Lunch,-150,True,2,2,"Hill, Davis And Stewart",Grocery Store,"6315 Jonathan Views Suite 276
Jerryhaven, TX 90986",Anneville,+1-608-953-5542x841,1,9,50,Brian Morales,Ngo,Darinland,409-939-7232x9674,2,9,17
24,594,717,Pending,2025-03-15 00:51:00,Saturday,0,March,151,2,Chicken,35,2025-03-28,140,Restaurant,Watsonstad,Non-vegetarian,Breakfast,-139,True,0,0,Zhang Llc,Restaurant,"6343 Sanders Park Suite 844
Port Brendaton, FL 49650",Watsonstad,001-943-679-8869x4358,2,10,52,Jonathon Gregory,Individual,Shortfort,040-511-7461x377,1,9,16
25,371,10,Completed,2025-03-10 07:10:00,Monday,7,March,156,1,Bread,34,2025-03-21,154,Supermarket,New John,Non-vegetarian,Lunch,-146,True,2,0,Smith-Turner,Supermarket,"574 Jamie Mountains Apt. 480
North Timothy, CA 92067",New John,001-084-709-0706x311,3,8,52,Mary Salazar,Ngo,Wrightland,001-187-333-7518x11395,2,10,22
26,959,233,Cancelled,2025-03-21 04:34:00,Friday,4,March,145,0,Pasta,26,2025-03-18,758,Catering Service,Port Patrick,Vegan,Breakfast,-149,True,0,1,Todd Group,Catering Service,"Unit 6259 Box 3832
DPO AE 28167",Port Patrick,2367228623,0,12,31,Alicia Porter,Charity,Port Ericmouth,001-652-614-2884x66578,0,14,22
27,58,487,Completed,2025-03-17 05:07:00,Monday,5,March,149,1,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,-139,True,2,1,Harrison-Wilson,Catering Service,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,2694752515,0,14,54,Micheal Peterson,Ngo,West Jeffreyfurt,0943304095,2,16,10
28,586,189,Pending,2025-03-19 04:15:00,Wednesday,4,March,147,2,Vegetables,37,2025-03-18,54,Supermarket,Lake Rachael,Vegetarian,Breakfast,-149,True,0,2,"Bennett, Phillips And Green",Supermarket,"Unit 0882 Box 8764
DPO AE 00627",Lake Rachael,001-350-580-0382x854,3,12,31,Stephen Smith,Individual,Maxberg,690326-1349x605,1,7,15
29,812,769,Pending,2025-03-14 17:09:00,Friday,17,March,152,2,Bread,49,2025-03-19,471,Grocery Store,Charlesmouth,Non-vegetarian,Lunch,-148,True,2,0,"Allen, Ramsey And Cortez",Grocery Store,"480 Bruce Run
Dennischester, CO 85895",Charlesmouth,5944685130,1,12,37,John Warner,Shelter,Cookhaven,+1-003-320-5395,3,9,15
30,193,228,Pending,2025-03-07 04:05:00,Friday,4,March,159,2,Pasta,25,2025-03-21,354,Catering Service,South Alicia,Vegan,Breakfast,-146,True,0,1,Rowe-Arias,Catering Service,"8041 Joseph Shoal Suite 878
North Robertfurt, KY 43667",South Alicia,090-649-4737,0,12,54,Joanna Wilkins,Charity,Singletonview,796888-1488,0,13,11
31,937,546,Completed,2025-03-03 02:06:00,Monday,2,March,163,1,Bread,18,2025-03-27,916,Catering Service,Patrickfort,Non-vegetarian,Lunch,-140,True,2,0,Davis And Sons,Catering Service,"551 Huynh Trail Apt. 373
Lake Kevinton, KS 39284",Patrickfort,9652663582,0,11,48,Meagan Hughes,Charity,Lake Lance,109364-9434,0,10,11
32,624,371,Cancelled,2025-03-17 12:57:00,Monday,12,March,149,0,Fish,10,2025-03-16,475,Catering Service,Bentonfurt,Non-vegetarian,Breakfast,-151,True,0,0,Henderson Group,Catering Service,"655 Mallory Fork
North Mary, WY 23835",Bentonfurt,854-929-8365,0,10,37,William Frederick,Ngo,Port Dean,001-228-551-9866,2,9,16
33,905,386,Cancelled,2025-03-16 14:26:00,Sunday,14,March,150,0,Bread,37,2025-03-25,2,Grocery Store,East Sheena,Vegan,Dinner,-142,True,1,1,"Nielsen, Johnson And Fuller",Grocery Store,"91228 Hanson Stream
Welchtown, OR 27136",East Sheena,+1-925-283-8901x6297,1,11,39,Mary Hopkins,Individual,Tiffanyport,001-476-350-8465x7500,1,11,21
34,713,271,Pending,2025-03-18 01:17:00,Tuesday,1,March,148,2,Fish,7,2025-03-26,108,Supermarket,East Austin,Vegan,Snacks,-141,True,3,1,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,0821142329,3,11,37,Mark Hartman,Individual,East Ashleyshire,818-015-1582,1,16,12
35,190,93,Cancelled,2025-03-09 21:40:00,Sunday,21,March,157,0,Salad,25,2025-03-22,262,Supermarket,New Carol,Non-vegetarian,Snacks,-145,True,3,0,Bradford-Martinez,Supermarket,"366 Wheeler Fields
Harringtonchester, WY 86540",New Carol,1994510254,3,9,46,Allison Bray,Individual,Alexatown,001-122-277-3588,1,9,16
36,597,562,Pending,2025-03-16 03:41:00,Sunday,3,March,150,2,Dairy,12,2025-03-20,563,Grocery Store,East Angela,Vegetarian,Lunch,-147,True,2,2,Daniels-Kim,Grocery Store,"002 Donald Glen Suite 515
Edwardschester, OR 44523",East Angela,7876213654x1971,1,11,50,Antonio Murphy,Ngo,West Kevin,+1-177-564-0300x9110,2,10,20
37,832,920,Cancelled,2025-03-13 03:50:00,Thursday,3,March,153,0,Fish,19,2025-03-16,752,Grocery Store,East Heatherport,Non-vegetarian,Breakfast,-151,True,0,0,Butler-Richardson,Grocery Store,"99213 George Spurs Suite 321
Petersenberg, MA 55289",East Heatherport,+1-268-505-2616,1,16,51,Gregory Rodriguez,Charity,West Davidview,6716671616,0,14,10
38,757,380,Cancelled,2025-03-18 05:29:00,Tuesday,5,March,148,0,Dairy,42,2025-03-21,282,Supermarket,Port Gregton,Vegetarian,Dinner,-146,True,1,2,"Baker, Gardner And Callahan",Supermarket,"18439 Amanda Field Apt. 333
Mccartymouth, MO 88867",Port Gregton,520-919-5240,3,12,50,Heather Silva,Charity,Lake Ryan,1340826530,0,9,10
39,58,923,Pending,2025-03-12 09:57:00,Wednesday,9,March,154,2,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,-139,True,2,1,Harrison-Wilson,Catering Service,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,2694752515,0,14,54,Victor Diaz,Shelter,Darinview,5619230470x922,3,9,14
40,141,789,Pending,2025-03-10 04:14:00,Monday,4,March,156,2,Dairy,33,2025-03-29,702,Supermarket,Lake Mistyton,Non-vegetarian,Lunch,-138,True,2,0,Moreno-Melton,Supermarket,"88171 Teresa Station
New Shane, UT 53712",Lake Mistyton,001-098-297-7862x776,3,13,40,Laura Robertson,Ngo,Hansonfurt,616-851-6533x67759,2,10,18
41,415,336,Pending,2025-03-18 04:33:00,Tuesday,4,March,148,2,Vegetables,18,2025-03-23,537,Restaurant,Callahanside,Vegan,Breakfast,-144,True,0,1,Jones Group,Restaurant,"3828 Williams Lake
Brownshire, OR 72935",Callahanside,104313-7701x468,2,12,39,Laura Marshall,Charity,East Lisafurt,+1-389-167-7916x81453,0,13,21
42,886,256,Pending,2025-03-07 12:22:00,Friday,12,March,159,2,Bread,48,2025-03-20,423,Restaurant,South Justinborough,Vegetarian,Breakfast,-147,True,0,2,Serrano-Lopez,Restaurant,"312 Hodge Center
West Stevenshire, KS 70989",South Justinborough,225688-7752x0658,2,19,43,Derek Wilson,Individual,Christopherland,+1-963-859-7585x002,1,15,19
43,611,306,Pending,2025-03-16 17:08:00,Sunday,17,March,150,2,Vegetables,40,2025-03-30,993,Restaurant,East Stephanie,Vegetarian,Snacks,-137,True,3,2,Mckinney Ltd,Restaurant,"179 Fernandez Rapids
Campbellport, MA 31352",East Stephanie,225-959-2378,2,14,43,Donna Williams,Charity,Calebview,083-313-0990x09518,0,9,18
44,825,31,Pending,2025-03-09 13:02:00,Sunday,13,March,157,2,Salad,25,2025-03-25,995,Supermarket,Manningshire,Vegetarian,Breakfast,-142,True,0,2,Moore Group,Supermarket,"46915 Maynard Dam Suite 320
North Alyssa, CA 48762",Manningshire,889-093-8775x51762,3,12,50,Rose Powell,Ngo,Spencermouth,247-152-7297x648,2,12,16
45,457,569,Completed,2025-03-13 07:07:00,Thursday,7,March,153,1,Soup,30,2025-03-25,347,Supermarket,Louismouth,Non-vegetarian,Lunch,-142,True,2,0,"Hood, Hoffman And Wright",Supermarket,"783 Gonzales Valleys Apt. 115
Alexandrialand, NH 52248",Louismouth,9926973906x31622,3,10,54,Danny Randolph,Shelter,South Yolanda,0290118582,3,13,10
46,556,412,Cancelled,2025-03-12 02:30:00,Wednesday,2,March,154,0,Fish,48,2025-03-21,938,Restaurant,Hollyhaven,Vegan,Lunch,-146,True,2,1,Barker Llc,Restaurant,"5999 Brenda Trail Apt. 807
Amberstad, VT 22034",Hollyhaven,+1-530-780-2072x25507,2,10,46,David Carney,Ngo,Port Dianemouth,001-710-732-1565x428,2,15,20
47,746,48,Pending,2025-03-07 10:45:00,Friday,10,March,159,2,Bread,31,2025-03-30,293,Catering Service,Joneshaven,Non-vegetarian,Lunch,-137,True,2,0,Ibarra And Sons,Catering Service,"Unit 2034 Box 3584
DPO AE 66830",Joneshaven,855-385-3050x223,0,10,31,Jennifer Graham,Individual,East Saraport,001-979-746-0394x487,1,13,20
48,895,373,Pending,2025-03-09 23:13:00,Sunday,23,March,157,2,Pasta,38,2025-03-29,888,Supermarket,West Sharonview,Vegan,Snacks,-138,True,3,1,Schmidt-Alexander,Supermarket,"96966 Smith Expressway
Lauraburgh, MD 50475",West Sharonview,616029-0456x6126,3,15,43,Seth Esparza,Shelter,Port Brandonberg,2597616873,3,16,10
49,190,678,Pending,2025-03-20 13:44:00,Thursday,13,March,146,2,Salad,25,2025-03-22,262,Supermarket,New Carol,Non-vegetarian,Snacks,-145,True,3,0,Bradford-Martinez,Supermarket,"366 Wheeler Fields
Harringtonchester, WY 86540",New Carol,1994510254,3,9,46,Joseph Johnson,Ngo,South Jasminechester,4122028352x6950,2,20,15
50,251,804,Pending,2025-03-19 13:18:00,Wednesday,13,March,147,2,Dairy,12,2025-03-24,241,Catering Service,Devinmouth,Non-vegetarian,Lunch,-143,True,2,0,"Harper, Blake And Alexander",Catering Service,"882 Smith Heights
East Cherylborough, DC 06299",Devinmouth,144381-3923,0,10,46,Elizabeth Cochran,Ngo,Theresabury,7711350025,2,11,10
51,543,255,Pending,2025-03-04 10:59:00,Tuesday,10,March,162,2,Fruits,9,2025-03-26,526,Supermarket,South Tylerstad,Vegan,Dinner,-141,True,1,1,"Harrington, Jimenez And Carr",Supermarket,"7266 Alvarez Junctions Suite 564
New Robertfort, MT 85213",South Tylerstad,154-764-8062,3,15,57,Walter Myers,Individual,New Tina,+1-285-278-8381x0454,1,8,20
52,507,517,Cancelled,2025-03-15 14:58:00,Saturday,14,March,151,0,Chicken,43,2025-03-26,968,Restaurant,Christopherton,Vegetarian,Lunch,-141,True,2,2,"Robinson, Schaefer And Foster",Restaurant,"83418 Joshua Place Suite 333
Nathanielborough, IN 28904",Christopherton,+1-235-607-0553x247,2,14,55,Taylor Wolfe,Individual,New Travisland,5163674140,1,14,10
53,37,449,Completed,2025-03-11 09:43:00,Tuesday,9,March,155,1,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-vegetarian,Dinner,-147,True,1,0,Hunt-Lee,Grocery Store,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223,1,12,43,Mrs. Valerie Hartman,Ngo,Port Jenniferborough,1271218776,2,20,10
54,534,737,Cancelled,2025-03-06 01:44:00,Thursday,1,March,160,0,Vegetables,34,2025-03-30,223,Restaurant,Longland,Non-vegetarian,Dinner,-137,True,1,0,Hodges And Sons,Restaurant,"7970 Robinson Field
Salinaschester, CT 85213",Longland,5041079130,2,8,44,James Brown,Shelter,Lake Catherine,152508-8754x91151,3,14,17
55,438,601,Completed,2025-03-09 00:13:00,Sunday,0,March,157,1,Dairy,46,2025-03-20,84,Restaurant,Marthaside,Vegetarian,Breakfast,-147,True,0,2,Atkins Group,Restaurant,"2205 Sharp Junction Suite 771
Drakefurt, KY 14437",Marthaside,+1-318-669-6985x63710,2,10,49,Peter Gonzalez,Shelter,Biancaton,112578-4601x9811,3,9,16
56,690,452,Completed,2025-03-17 14:29:00,Monday,14,March,149,1,Fruits,43,2025-03-16,779,Supermarket,New Bobbytown,Vegetarian,Breakfast,-151,True,0,2,Maynard Llc,Supermarket,"7357 Kimberly Estate
Williamtown, TX 45569",New Bobbytown,4169749320x8176,3,13,42,Tina Banks,Charity,Port Judith,986-535-7620,0,11,12
57,225,295,Completed,2025-03-11 21:44:00,Tuesday,21,March,155,1,Fish,26,2025-03-24,340,Grocery Store,Murrayborough,Vegan,Dinner,-143,True,1,1,"Barry, Powers And White",Grocery Store,"1145 Justin Light
Richardside, CT 45760",Murrayborough,023817-1166,1,13,39,Joseph Williams,Individual,East Dale,001-112-513-9413,1,9,16
58,258,149,Completed,2025-03-13 15:12:00,Thursday,15,March,153,1,Fish,24,2025-03-21,101,Restaurant,East Angelafort,Vegetarian,Breakfast,-146,True,0,2,Chambers-Waters,Restaurant,"56762 Kimberly Light Suite 474
Matthewmouth, UT 45275",East Angelafort,001-230-322-3448x38934,2,15,53,Nathan Willis,Ngo,Danielfort,8303189696x322,2,10,14
59,797,371,Cancelled,2025-03-02 23:28:00,Sunday,23,March,164,0,Dairy,40,2025-03-27,467,Catering Service,Phillipsfort,Vegan,Breakfast,-140,True,0,1,"Wilson, Watkins And Moore",Catering Service,"57044 Fisher Valley
Parkerland, ID 82897",Phillipsfort,7829440904,0,12,40,William Frederick,Ngo,Port Dean,001-228-551-9866,2,9,16
60,390,391,Pending,2025-03-16 15:03:00,Sunday,15,March,150,2,Soup,19,2025-03-27,264,Catering Service,New Richard,Non-vegetarian,Lunch,-140,True,2,0,Holland And Sons,Catering Service,"430 Tyler View Apt. 166
South Katherine, TX 04269",New Richard,184-401-2586x9344,0,11,49,Regina Munoz,Ngo,Lake Clinton,5859553149,2,12,10
61,990,550,Cancelled,2025-03-08 21:06:00,Saturday,21,March,158,0,Pasta,11,2025-03-25,720,Restaurant,Francisshire,Vegetarian,Breakfast,-142,True,0,2,"Page, Smith And Davis",Restaurant,"065 Mary Estate Apt. 886
North Jessica, NY 33169",Francisshire,921-470-8846x3047,2,12,48,Shawn Gibson,Individual,South Eric,001-268-793-0427x33000,1,10,22
62,258,678,Pending,2025-03-17 14:07:00,Monday,14,March,149,2,Fish,24,2025-03-21,101,Restaurant,East Angelafort,Vegetarian,Breakfast,-146,True,0,2,Chambers-Waters,Restaurant,"56762 Kimberly Light Suite 474
Matthewmouth, UT 45275",East Angelafort,001-230-322-3448x38934,2,15,53,Joseph Johnson,Ngo,South Jasminechester,4122028352x6950,2,20,15
63,119,279,Pending,2025-03-08 21:30:00,Saturday,21,March,158,2,Bread,49,2025-03-28,135,Catering Service,East Candace,Non-vegetarian,Breakfast,-139,True,0,0,Dyer Group,Catering Service,"601 Kent Mills Apt. 098
New Robertstad, NY 73393",East Candace,9069001026,0,12,48,Angela Wyatt,Charity,Port Jessica,5929131646x3179,0,12,15
64,771,90,Completed,2025-03-17 13:38:00,Monday,13,March,149,1,Chicken,9,2025-03-23,551,Restaurant,East Sandratown,Vegetarian,Dinner,-144,True,1,2,"Holland, Caldwell And Oliver",Restaurant,"7502 Silva Lights Apt. 125
North Brittany, MA 40389",East Sandratown,670960-9465,2,15,51,Alvin West,Shelter,Kellybury,417314-8724,3,9,11
65,424,532,Cancelled,2025-03-15 15:00:00,Saturday,15,March,151,0,Pasta,41,2025-03-27,910,Restaurant,Leeburgh,Non-vegetarian,Lunch,-140,True,2,0,Lee Plc,Restaurant,"886 Mark Plain Suite 687
Lake Nicholashaven, MN 43931",Leeburgh,3465177901x471,2,8,53,David Sellers Dvm,Individual,South Michaelfurt,4923213443,1,17,10
66,310,730,Cancelled,2025-03-11 19:22:00,Tuesday,19,March,155,0,Rice,13,2025-03-20,528,Supermarket,Markport,Vegan,Dinner,-147,True,1,1,Baird Plc,Supermarket,"10521 Jared Mill Suite 659
Mccormickhaven, MO 07533",Markport,001-930-122-6265x199,3,8,51,Felicia Glover,Shelter,East Michael,982-844-2370,3,12,12
67,486,817,Completed,2025-03-17 17:22:00,Monday,17,March,149,1,Chicken,9,2025-03-25,550,Catering Service,Timothychester,Vegan,Snacks,-142,True,3,1,"Phelps, Graham And Hayes",Catering Service,"59138 Sherman Light Apt. 256
Rossside, ND 89271",Timothychester,512814-0594x96653,0,14,47,Victoria Torres,Charity,Martinchester,+1-624-780-9445x7755,0,13,20
68,526,321,Pending,2025-03-02 04:49:00,Sunday,4,March,164,2,Rice,11,2025-03-30,883,Supermarket,New Jacob,Vegetarian,Lunch,-137,True,2,2,"Lewis, Wagner And Solis",Supermarket,"250 Chloe Common
South Elizabethbury, NH 23690",New Jacob,001-094-480-8706,3,9,46,Wanda Wise,Shelter,South Bethanyport,940028-0493x49472,3,17,17
69,321,45,Completed,2025-03-10 06:15:00,Monday,6,March,156,1,Pasta,20,2025-03-18,572,Supermarket,Lake Cathy,Non-vegetarian,Lunch,-149,True,2,0,Shaw Group,Supermarket,"PSC 8369, Box 1372
APO AP 87487",Lake Cathy,+1-168-522-2184x289,3,10,31,Derek Potter,Charity,South Laurachester,497-372-7517x026,0,18,16
70,203,479,Completed,2025-03-19 15:41:00,Wednesday,15,March,147,1,Pasta,8,2025-03-24,215,Grocery Store,New Curtis,Vegetarian,Breakfast,-143,True,0,2,Simmons Ltd,Grocery Store,"6249 Michelle Islands Apt. 374
West Heather, VT 67074",New Curtis,219975-7084,1,10,53,Karen Reeves Md,Ngo,Lake Mitchellbury,365-174-3809,2,17,12
71,538,897,Cancelled,2025-03-02 15:34:00,Sunday,15,March,164,0,Dairy,18,2025-03-29,840,Restaurant,Cisnerostown,Vegetarian,Lunch,-138,True,2,2,Farmer Ltd,Restaurant,"594 Patel Road Suite 676
Autumnborough, AK 45847",Cisnerostown,9241475562x1759,2,12,48,Shelby Rice,Shelter,New Loriberg,+1-213-470-2112x7474,3,12,20
72,851,44,Completed,2025-03-04 10:49:00,Tuesday,10,March,162,1,Fruits,35,2025-03-18,516,Catering Service,New Aaronberg,Non-vegetarian,Snacks,-149,True,3,0,"Raymond, Kelly And Yates",Catering Service,"8919 Natasha Tunnel
Jacksonburgh, MO 07674",New Aaronberg,590421-4384,0,13,42,Andrew Lawson,Shelter,Davisborough,6225667870,3,12,10
